brand_name,active_ingredient,strength
Cordilox SR,Verapamil Hydrochloride,240mg Tablet Blister Pack
Gastrografin,Gastrografin,Oral Liquid Bottle
Microgynon 30,Ethinyloestradiol/Levonorgestrel,Tablet Blister Pack
Microgynon 30 Ed,Ethinylestradiol/Levonorgestrel,
Microgynon 50 Ed,Ethinylestradiol/Levonorgestrel,
Microlut,Levonorgestrel,30 Mcg
Magnevist,Gadopentetate Dimeglumine,4.69g/10ml
Primoteston Depot,Testosterone Enantate,250mg/1ml
Progynova,Estradiol Valerate,1 Mg
Progynova,Estradiol Valerate,2 Mg
Triquilar Ed,Ethinylestradiol/Levonorgestrel,
Minipress,Prazosin Hydrochloride,1 Mg
Minipress,Prazosin Hydrochloride,2 Mg
Minipress,Prazosin Hydrochloride,5 Mg
Tobramycin Pf,Tobramycin Sulfate,80 Mg/2 Ml
Methotrexate,Methotrexate,50 Mg/2 Ml
Methotrexate,Methotrexate,1000 Mg/10 Ml
Obstetric Care Chlorhexidine Gluconate,Chlorhexidine Gluconate,10 Mg/G
Riodine Concentrated Gargle,Povidone-Iodine,75 Mg/Ml
Vincristine Sulfate,Vincristine Sulfate,1 Mg/1Ml
Orion,Metronidazole,0.5%
Lochol,Lochol,
Modichol,Modichol,
Bosisto's Eucalyptus Oil,Eucalyptus Oil,
Bridgewest Sterile Potassium Chloride Concentrate,Potassium Chloride,750 Mg/10 Ml
Povidone-Iodine Solution,Povidone-Iodine,10% W/V
Pfizer (Australia) Sodium Bicarbonate,Sodium Bicarbonate,8.4% (8.4g/100ml)
Pfizer (Australia) Sodium Chloride,Sodium Chloride,0.9% (450mg/50ml)
Riodine Antiseptic Ointment,Povidone-Iodine,100mg/g
Euky Bearub,Euky Bearub,
Difflam Anti-Inflammatory Gel,Benzydamine Hydrochloride,30mg/G
Difflam Extra Strength Anti-Inflammatory Gel,Benzydamine Hydrochloride,50mg/G
Duromine 15,Phentermine,15mg
Duromine 40,Phentermine,40mg
Chemists' Own Difenacol,Chemists' Own Difenacol,
Oroxine,Levothyroxine Sodium,50 Microgram
Oroxine,Levothyroxine Sodium,100 Microgram
Oroxine,Levothyroxine Sodium,200 Microgram
Anafranil,Clomipramine Hydrochloride,25mg
Puri-Nethol,Mercaptopurine Monohydrate,50 Mg
Septrin Forte,Trimethoprim/Sulfamethoxazole,160/800 Mg
Septrin,Septrin,
Septrin,Trimethoprim/Sulfamethoxazole,80/400 Mg
Sudafed Sinus And Nasal Decongestant,Pseudoephedrine Hydrochloride,60 Mg
Lioresal,Baclofen,25 Mg
Locacorten-Vioform,Locacorten-Vioform,
Metopirone,Metyrapone,250 Mg
Ritalin,Methylphenidate Hydrochloride,10 Mg
Symmetrel,Amantadine Hydrochloride,100 Mg
Tracrium,Atracurium Besilate,25mg/2.5mL
Triprim,Trimethoprim,300mg
Eurax Cream,Crotamiton,100mg/g
Hygroton 25,Chlortalidone,25mg
Lioresal 10,Baclofen,10mg
Synacthen,Tetracosactide (Tetracosactrin),0.25mg/1ml
Synacthen Depot,Tetracosactide (Tetracosactrin) Zinc Complex,1mg/1ml
Tegretol,Carbamazepine,200mg
Tofranil,Imipramine Hydrochloride,10mg
Voltaren,Diclofenac Sodium,25mg
Voltaren,Diclofenac Sodium,50mg
Alkeran,Melphalan,5mg
Anginine,Glyceryl Trinitrate,600 Microgram
Imuran,Azathioprine,50mg
Kemadrin,Procyclidine Hydrochloride,5mg
Lanoxin Infants,Digoxin,50 Microgram/2ml Injection Ampoule
Lanoxin Adult,Digoxin,500 Microgram/2ml Injection Ampoule
Lanoxin Pg,Digoxin,62.5 Microgram Tablet Bottle
Lanoxin,Digoxin,250 Micrograms Tablet Bottle
Lanvis,Tioguanine,40mg Tablet Bottle
Leukeran,Chlorambucil,5mg
Amoxil Sugar Free Syrup,Amoxicillin,125mg/5ml (As Trihydrate)
Amoxil Forte Sugar Free Syrup,Amoxicillin,250mg/5ml (As Trihydrate)
Amoxil,Amoxicillin,1g (As Sodium)
Augmentin,Augmentin,
Augmentin Forte,Amoxicillin/Clavulanic Acid,
Bactroban,Mupirocin,20mg/G
Maxolon,Metoclopramide,10mg
Timentin,Ticarcillin/Clavulanic Acid,
Bridgewest Chlorhexidine,Chlorhexidine,0.1%
Nolvadex,Tamoxifen Citrate,10 Mg
Savacol Antiseptic Mouth & Throat Rinse Mint,Chlorhexidine Gluconate,2 Mg/Ml
Savlon Antiseptic Cream,Savlon Antiseptic Cream,
Bridgewest Sodium Chloride,Sodium Chloride,0.9% (270 Mg/30 Ml)
Chlorhexidine 0.5% In Alcohol 70% Solution,Chlorhexidine,0.5%
Bactroban,Mupirocin,2% Nasal Ointment
Inderal,Propranolol Hydrochloride,10mg Tablet
Inderal,Propranolol Hydrochloride,40mg Tablet
Mysoline,Primidone,250mg Tablet
Nolvadex-D,Tamoxifen,20mg (As Citrate) Tablet
Alcoholic Povidone-Iodine 10% Solution,Povidone-Iodine,
Atropine Injection Bp,Atropine Sulfate Monohydrate,600 Microgram/1 Ml
Atropine Injection Bp,Atropine Sulfate Monohydrate,1200 Microgram/1 Ml
Phebra Balanced Salt Solution,Phebra Balanced Salt Solution,
Bupivacaine Hydrochloride,Bupivacaine Hydrochloride,0.5% (50mg/10ml)
Pfizer (Australia),Bupivacaine Hydrochloride,0.5% (50mg/10ml)
Bupivacaine Hydrochloride,Bupivacaine Hydrochloride,0.25% (50mg/20ml)
Calcium Gluconate Gel,Calcium Gluconate Monohydrate,25mg/g
Chlorhexidine 0.2% Catheter Prep,Chlorhexidine,0.2%
Chlorhexidine 1% Hand Lotion,Chlorhexidine,1%
Chlorhexidine Pre-Op,Chlorhexidine Gluconate,40mg/ml
Chlorhexidine Surgical Scrub,Chlorhexidine Gluconate,40 Mg/Ml
Chlorhexidine 0.5% In Alcohol 70% Solution,Chlorhexidine,
Cytarabine,Cytarabine,100 Mg/5 Ml
Cytarabine,Cytarabine,1 G/10 Ml
Metoclopramide Injection Bp,Metoclopramide Hydrochloride (As Monohydrate),10 Mg/2 Ml
Half Strength Povidone-Iodine Solution,Povidone-Iodine,5% W/V
Gentamicin,Gentamicin,80 Mg/2 Ml
Hydrogen Peroxide,Hydrogen Peroxide,10 Vol (3%)
Hydrogen Peroxide,Hydrogen Peroxide,20 Vol (6%)
Hydrogen Peroxide,Hydrogen Peroxide,3% W/V
Mcgloins Body Plus Animine Anaesthetic & Antiseptic Antiitch Lotion,Mcgloins Body Plus Animine Anaesthetic & Antiseptic Antiitch,
Mcgloins Chilblain Ointment,Mcgloins Chilblain Ointment,
Mcgloin's Benzemul,Benzyl Benzoate,250mg/Ml
Lipex 10,Simvastatin,10mg
Lipex 20,Simvastatin,20mg
Ba Zhen Wan,Ginseng Danggui Eight Combination,
Bai He Gu Jing Wan,Lily Combination,
Ban Xia Hou Po Tang,Pinellia & Magnolia Formula,
Bao He Wan,Citrus & Crataegus Formula,
Bei Xie Sheng Shi Wan,Tokoro & Coix Combination,
Ego Emollient,Ego Emollient,
John Plunkett's Psor-Asist Cream,John Plunkett's Psor-Asist Cream,
John Plunkett’s Superfade Face Treatment Cream,John Plunkett’s Superfade Face Treatment Cream,
John Plunkett's Sunspot Cream,Salicylic Acid,50 Mg/G
Cathay Herbal Diet,Cathay Herbal Diet,
Bu Yang Huan Wu Wan,Astragalus And Carthamus,
Bu Zhong Yi Qi Wan,Gingseng & Astragalus,
Chai Hu Shu Gan Wan,Bupleurum & Cyperus,
Chen Xiang Hua Qi Wan,Aquillaria,
Da Chai Hu Tang,Major Bupleurum,
Fu Gui Ba Wei Wan,Rehmannia 8 Formula,
Huang Lian Jie Du Tang,Coptis & Scutellaria Combination,
Huo Xiang Zheng Qi Wan,Agastache Formula,
Jia Wei Xiao Yao San,Bupleurum & Peony Formula,
Liu Jun Zi Wan,Six Major Herbs Combination,
Ding Chuan Wan,Ginkgo Nut & Apricot Seed Combination,
Du Huo Ji Shen Wan,Du Huo & Loranthus Combination,
Er Chen Wan,Citrus & Pinellia Combination,
Fang Feng Tong Sheng Wan,Siler & Platycodon Combination,
Fang Ji Huang Qi Wan,Stephania & Astragalus Combination,
Rehmannia Six Formula,Rehmannia,
Gentiana Combination,Gentiana,
Apricot Seed & Linum Formula,Apricot Seed & Linum,
Magnolia And Ginger Combination,Magnolia And Ginger,
"Lycium, Chrysanthemum & Rehmannia Combination","Lycium, Chrysanthemum & Rehmannia",
Qing Ying Tang,"Rehmannia, Figworth & Forsythia Combination",
Run Chang Wan,Sesame & Rhubarb Formula,
Sang Ju Wan,Morus & Chrysanthemum Combination,
Shen Ling Bai Zhu San,Ginseng & Atractylodes Formula,
Sheng Mai San,"Ginseng, Ophiopogon & Schizandra Formula",
Tian Wang Bu Xin Wan,Ginseng & Zizyphus,
Tong Jing Wan,Danggui & Notoginseng,
Wen Dan Tang,Bamboo & Hoelen,
Wu Wei Xiao Du Yin,Lonicera & Dandelion,
Xiang Sha Liu Jun Zi Wan,Saussurea & Cardamon,
Shi Quan Da Bu Wan,Ginseng & Danggui 10 Combination,
Si Jun Zi Wan,Four Major Herbs Combination,
Si Wu Wan,Danggui Four Combination,
Su Zi Jiang Qi Wan,Perilla Fruit Combination,
Tao Hong Si Wu Wan,"Persica, Carthamus & Danggui Combination",
Yang Yin Qing Fei Wan,Yang Yin Qing Fei Wan,
Yin Qiao Wan,Yin Qiao Wan,
You Gui Wan,You Gui Wan,
Yu Ping Feng San,Yu Ping Feng San,
Zao Ren Yang Xin Wan,Zao Ren Yang Xin Wan,
Xiao Chai Hu Wan,Xiao Chai Hu Wan,
Xiao Yao San,Xiao Yao San,
Xin Yi San,Xin Yi San,
Xuan Bi Tang,Stephania & Blue Atractylodes Combination,
Xue Fu Zhu Yu Tang,Percisa & Cnidium Combination,
Zhen Wu Tang,Codonopsis,
Zhi Bai Ba Wei Wan,"Anemarrhena, Phellodendron & Rehmannia",
Zhi Sou San & Addition,Platycodon & Stemona,
Zuo Gui Wan,Left Returning Formula,
Melrose Vitamin C,Sodium Ascorbate,
Melrose Vitamin C,Ascorbic Acid,
Melrose Vitamin C,Calcium Ascorbate,
Marcain 0.25% With Adrenaline,Bupivacaine Hydrochloride With Adrenaline,"1:400,000 10Ml"
Marcain 0.5%,Bupivacaine Hydrochloride (As Monohydrate),50Mg/10Ml
Marcain 0.5% With Adrenaline,Bupivacaine Hydrochloride With Adrenaline,"1:200,000 10Ml"
Marcain,Bupivacaine Hydrochloride,0.5% Or 50 Mg/10 Ml
Marcain Spinal,Bupivacaine Hydrochloride Anhydrous,0.5% Heavy Or 20 Mg/4 Ml
Marcain Epidural Infusion,Bupivacaine Hydrochloride,0.25% Or 250 Mg/100 Ml
Marcain Dental With Adrenaline,Bupivacaine Hydrochloride,"0.5% With Adrenaline 1:200,000 Or 2.2 Ml"
Nurocain Dental With Adrenaline,Lidocaine,"2% With Adrenaline 1:100,000 Or 2.2 Ml"
Astrazeneca Pancuronium Bromide,Pancuronium Bromide,4mg/2ml
Questran Lite,Colestyramine,850mg/g
Neostigmine Jn,Neostigmine Methylsulfate,0.5mg/1ml
Phebra Sodium Chloride,Sodium Chloride,0.9% (9mg/ml)
Astrazeneca Sodium Chloride,Sodium Chloride,20% 2g/10ml
Xylocaine 5% Ointment,Lidocaine,50mg/G
Xylocaine Special Adhesive,Lidocaine,100mg/G
Xylocaine Viscous,Lidocaine Hydrochloride,21.3 Mg/Ml
"Xylocaine 0.5% With Adrenaline 1:200,000",Lidocaine Hydrochloride,20 Ml
Xylocaine 0.5%,Lidocaine Hydrochloride,25mg/5ml
"Xylocaine 1.5% With Adrenaline 1:200,000","Lidocaine Hydrochloride, Epinephrine",1.5%
Xylocaine 1%,Lidocaine Hydrochloride,20mg/2ml
"Xylocaine 1% With Adrenaline 1:200,000","Lidocaine Hydrochloride, Epinephrine",1%
"Xylocaine 1% With Adrenaline 1:100,000","Lidocaine Hydrochloride, Epinephrine",1%
Xylocaine 2%,Lidocaine Hydrochloride,40mg/2ml
"Xylocaine 2% With Adrenaline 1:200,000",Lidocaine,2%
"Xylocaine Dental With Adrenaline 1:80,000",Lidocaine,2%
Xylocaine 2% Jelly,Lidocaine,2%
Xylocard,Lidocaine,100Mg/5Ml
Xyloproct Ointment,Xyloproct Ointment,
Xylocard 1000,Lidocaine Hydrochloride,1g/10ml
Xylocard 500,Lidocaine Hydrochloride,500mg/5ml
Potassium Chloride Juno,Potassium Chloride,1g/10ml
Potassium Chloride Juno,Potassium Chloride,2g/10ml
Emla,Emla,5% Cream
Adrenaline-Link,Adrenaline (Epinephrine) Acid Tartrate,1mg/1mL
Astrazeneca Atropine Sulfate,Atropine Sulfate,500 Microgram/1mL
Astrazeneca Atropine Sulfate,Atropine Sulfate,400 Microgram/1mL
Astrazeneca Atropine Sulfate,Atropine Sulfate,600 Microgram/1mL
Astrazeneca Atropine Sulfate,Atropine Sulfate,1.2mg/1mL
Betaloc,Metoprolol Tartrate,5mg/5ml
Betaloc,Metoprolol Tartrate,50mg
Bricanyl,Terbutaline Sulfate,0.5mg/1ml
Citanest,Prilocaine Hydrochloride,0.5%
Citanest Dental With Octapressin,Citanest Dental With Octapressin,3%
Citanest Dental With Adrenaline,Citanest Dental With Adrenaline,3%
Citanest Dental,Prilocaine Hydrochloride,4%
Fentanyl,Fentanyl Citrate,100 Microgram/2ml
Sm 33 Adult Formula Liquid,Sm 33 Adult Formula Liquid,
Sm33 Gel,Sm33 Gel,
Solu-Cortef,Hydrocortisone (As Sodium Succinate),100mg
Dalacin C,Clindamycin (As Hydrochloride),150mg
Lincocin,Lincomycin (As Hydrochloride),600 mg/2 ml
Atgam,Equine Antithymocyte Immunoglobulin,250mg/5ml
Dalacin C,Clindamycin (As Phosphate),300mg/2ml
Depo-Medrol,Methylprednisolone Acetate,40 Mg/1 Ml
Depo-Provera,Medroxyprogesterone Acetate,150 Mg/Ml
Loniten,Minoxidil,10 Mg
Provera,Medroxyprogesterone Acetate,100 Mg
Provera,Medroxyprogesterone Acetate,200 Mg
Penetrene Cooling Gel,Penetrene Cooling Gel,
Penetrene Liniment,Penetrene Liniment,
Betaloc,Metoprolol Tartrate,100mg
Pharmalab Glucose 5%,Glucose,5g/100Ml
Frisium,Clobazam,10mg
Provera,Medroxyprogesterone Acetate,250mg
Provera,Medroxyprogesterone Acetate,500mg
Solu-Medrol,Methylprednisolone (As Sodium Succinate),1g
Solu-Medrol,Methylprednisolone (As Sodium Succinate),2g
Solu-Medrol,Methylprednisolone (As Sodium Succinate),500mg
Pharmalab Morphine Sulfate,Morphine Sulfate,10 Mg/1 Ml
Pharmalab Morphine Sulfate,Morphine Sulfate,30 Mg/1 Ml
Potassium Chloride Juno,Potassium Chloride,1.5 G/10 Ml
Xylocaine 2%,Lidocaine Hydrochloride Anhydrous,44 Mg/2.2 Ml
Chemists' Own Children's Paracetamol Pain & Fever Suspension - 1 To 5 Years,Paracetamol,24 Mg/Ml
Glucose,Glucose,10% W/V 1g/10ml
Lasix,Furosemide,20mg/2ml
Lasix High Dose,Furosemide,250mg/25ml
Glucose,Glucose,50% 25g/50ml
Marcain 0.125% Epidural Infusion,Bupivacaine Hydrochloride (As Monohydrate),125mg/100ml
Betnovate,Betamethasone,0.5mg/g
Betnovate,Betamethasone,0.2mg/g
Betnovate,Betamethasone,1mg/g
Betnovate,Betamethasone,1mg/g
Dindevan,Phenindione,10mg
Fortum,Ceftazidime,1g
Fortum,Ceftazidime,2g
Marevan,Warfarin Sodium,1mg
Grisovin,Griseofulvin,125 Mg
Marevan,Warfarin Sodium,3mg
Marevan,Warfarin Sodium,5mg
Nicorette,Nicotine,2mg
Nicorette,Nicotine,4mg
Predsol Retention Enema,Prednisolone,20mg/100ml
Tertroxin,Liothyronine Sodium,20 Microgram
Trandate,Labetalol Hydrochloride,100mg Tablet
Trandate,Labetalol Hydrochloride,200mg Tablet
Ventolin,Salbutamol,500 Microgram/1ml Injection Ampoule
Ventolin Obstetric,Salbutamol,5mg/5ml Injection Ampoule
Ventolin Nebules,Salbutamol,2.5mg/2.5ml Inhalation Solution Ampoule
Ventolin Nebules,Salbutamol,5mg/2.5ml
Zantac,Ranitidine,150mg
Zantac,Ranitidine,50mg/2ml
Calcium Resonium,Calcium Polystyrene Sulfonate,
Omnipaque 180,Iohexol,3.88g/10ml
Omnipaque 240,Iohexol,5.18g/10ml
Pentazocine Tablets,Pentazocine,25mg
Hydralazine Tablets,Hydralazine,25mg
Povidone-Iodine Solution,Povidone-Iodine,10% W/V
Povidone-Iodine Solution,Povidone-Iodine,10% W/V
Pinetarsol Bath Oil,Tar,2.3% W/W
Daunorubicin,Daunorubicin Hydrochloride,20mg/10mL
Leucovorin Calcium,Folinic Acid,50mg/5mL
Bupivacaine Hydrochloride,Bupivacaine Hydrochloride,0.5% (100mg/20mL)
Obstetric Care Lotion,Chlorhexidine Gluconate,10mg/g
Pfizer (Australia) Metronidazole,Metronidazole,5 Mg/Ml (0.5%)
Lidocaine Gel,Lidocaine (Lignocaine) Hydrochloride Monohydrate,2% (22 Mg/G)
Petrus Glycerol,Glycerol,700 Mg
Petrus Glycerol,Glycerol,1.4 G
Petrus Glycerol,Glycerol,2.8 G
Isoptin,Verapamil Hydrochloride,5mg/2mL
Isoptin SR,Verapamil Hydrochloride,240mg
Early Bird Laxettes,Senna,
Mentholatum Deep Heat Night Relief,Mentholatum Deep Heat Night Relief,
Deep Heat Original Heat Rub,Deep Heat Original Heat Rub,
Dbl Carboplatin,Carboplatin,50mg/5ml
Dbl Heparin Sodium,Heparin Sodium,5000iu/1ml
Dbl Heparin Sodium,Heparin Sodium,1000iu/1ml
Emla,Lidocaine And Prilocaine,5%
Murelax,Oxazepam,30Mg
Isordil Sublingual,Isosorbide Dinitrate,5Mg
Dibenylene,Phenoxybenzamine Hydrochloride,10Mg
Fefol,Iron And Folic Acid,
Fucidin,Sodium Fusidate,20Mg/G
Pevaryl Anti-Fungal Cream,Econazole Nitrate,1% W/W
Ridaura,Auranofin,3mg
Pevaryl Foaming Solution,Econazole,10mg/g
Vagisil Feminine Itching Cream,Vagisil Feminine Itching Cream,
Aci-Jel Balance,Aci-Jel Balance,
Daktarin Cream For Athlete's Foot,Miconazole Nitrate,20mg/g
Daktarin Oral Gel,Miconazole,20mg/g
Daktarin Powder,Miconazole Nitrate,20mg/g
Daktarin Tincture,Miconazole,20mg/mL
Duphalac,Lactulose,667mg/mL
Haldol Decanoate,Haloperidol,50 Mg/1 Ml (As Decanoate)
Imodium Capsules,Loperamide Hydrochloride,2 Mg
Nizoral 2% Cream,Ketoconazole,20 Mg/G
Ptu,Propylthiouracil,50 Mg
Phebra Vitamin A,Vitamin A,"15,000 Micrograms Re"
Syntocinon,Oxytocin,40 IU/Ml
Syntocinon,Oxytocin,10 IU/1 Ml
Syntocinon,Oxytocin,5 IU/1 Ml
Syntometrine,Oxytocin / Ergometrine Maleate,1 Ml
Lucas' Papaw Ointment,Lucas' Papaw Ointment,
Restavit,Doxylamine Succinate,25 Mg
Miacalcic,Calcitonin Salmon (Salcatonin),100IU/1mL
Miacalcic,Calcitonin Salmon (Salcatonin),50IU/1mL
Parlodel,Bromocriptine,2.5mg
Sandimmun,Ciclosporin,50mg/1mL
Gastrogel Antacid,Gastrogel Antacid,
Isoniazid,Isoniazid,100 Mg
Solone,Prednisolone,25 Mg
Solone,Prednisolone,5 Mg
Sone,Prednisone,25 Mg
Adnohr Ear Care Antiseptic,Benzalkonium Chloride,1.3g/L
Aspirin,Aspirin,300 Mg
Codeine Phosphate Hemihydrate,Codeine Phosphate Hemihydrate,8 Mg
Fawns & McAllan,Atropine Sulphate B.P.,600 Microgram
Coloxyl,Coloxyl,
Urex-M,Furosemide (Frusemide),20 Mg
Scholl Callus Removal Pads,Salicylic Acid,400 Mg/G
Scholl Corn Removal Pads,Salicylic Acid,400 Mg/G
Rythmodan,Disopyramide,100 Mg
Rythmodan,Disopyramide,150 Mg
Sofradex Ear Drops,"Dexamethasone (As Sodium Metasulfobenzoate), Framycetin Sulfate, Gramicidin",
Anagraine,Anagraine,
Panadol Tablets,Paracetamol,500mg
Nyal Bronchitis Cough Medicine,Ammonium Chloride,11mg/mL
Nyal Cold Sore Cream,Nyal Cold Sore Cream,
Nyal Decongestant Nasal Spray,Phenylephrine Hydrochloride,5 Mg/Ml
Nyal Toothache Drops,Nyal Toothache Drops,
Bonningtons Irish Moss Cough Syrup,Bonningtons Irish Moss Cough Syrup,
Inova Tetrabenazine,Tetrabenazine,25 Mg
Anexate,Flumazenil,0.5 Mg/5 Ml
Efudix,Fluorouracil,5% W/W
Hypnovel,Midazolam,5mg/1ml
Hypnovel,Midazolam,15mg/3ml
Madopar 250,Levodopa 200 Mg And Benserazide 50 Mg,
Madopar Hbs 125,Levodopa 100 Mg And Benserazide 25 Mg,
Madopar 62.5,Levodopa 50 Mg And Benserazide 12.5 Mg,
Madopar 250,Levodopa 200 Mg And Benserazide 50 Mg,
Madopar 125,Levodopa 100 Mg And Benserazide 25 Mg,
Mestinon,Pyridostigmine Bromide,10 Mg
Mestinon,Pyridostigmine Bromide,60 Mg
Mestinon Timespan,Pyridostigmine Bromide,180mg
Panamax Elixir,Paracetamol,120mg/5ml
Mogadon,Nitrazepam,5mg
Natulan,Procarbazine,50mg (As Hydrochloride)
Rivotril,Clonazepam,1mg/1ml
Gold Cross Muscle Rub Cream,Gold Cross Muscle Rub Cream,
Goanna Eucalyptus Oil Bp Quality,Eucalyptus Oil,
Azactam,Aztreonam,1g
Gold Cross Clove Oil,Gold Cross Clove Oil,
Gold Cross Ichthammol 25% W/W Drawing Ointment,Gold Cross Ichthammol 25% W/W Drawing Ointment,
Rivotril,Clonazepam,2.5mg/Ml
Hypnovel,Midazolam,5mg/5Ml
Aquaear Ear Drops,Aquaear Ear Drops,
Robitussin Cough & Chest Congestion,Robitussin Cough & Chest Congestion,
Robitussin Chesty Cough & Nasal Congestion Ps,Robitussin Chesty Cough & Nasal Congestion Ps,
David Craig Uricosal Potassium Citrate Mixture,Potassium Citrate,
David Craig Zinc & Castor Oil Ointment,Zinc & Castor Oil Ointment,
Biotech International Codeine Linctus,Codeine Phosphate Hemihydrate,5mg/mL
Gold Cross Muscle Rub Ointment,Methyl Salicylate,
Gold Cross Calamine Spray,Calamine Spray,
Gold Cross Whitfield's Antifungal Ointment,Gold Cross Whitfield's Antifungal Ointment,
Dilantin Paediatric Suspension,Phenytoin,30Mg/5Ml
Radpharm Dmsa,Technetium (99Mtc) Succimer,
Radpharm Dtpa,Technetium (99Mtc) Pentetate,
Radpharm Pyp,Technetium (99Mtc) Tin Pyrophosphate,
